#0       1             2              3              4              5              6              7
#n   starPmass       starX          starY          starZ          starVx         starVy         starVz
148910  1.0002224e-05 -3.5526106e-01  4.6649130e-01  2.5946912e-01  8.8515624e-02 -5.0477649e+01 -1.5526302e+01 
148911  1.0002224e-05 -1.7820009e+00  5.1794705e-01 -1.1015349e+00  1.0386787e+01  2.2053011e+01  2.5775130e+01 
148912  1.0002224e-05  1.0599011e+00  2.5206100e-01  4.1458403e+00 -5.6338223e+01  1.2708059e+01  2.0493088e+01 
148913  1.0002224e-05 -3.4318564e-01 -8.2196019e-01 -1.4499026e-01 -2.4217287e+01  2.0256223e+01  3.5845639e+01 
148914  1.0002224e-05 -1.1711494e-01 -3.0584047e-01 -1.0311236e-01  2.9226496e+01 -1.9226940e+01 -2.2348582e+01 
148915  1.0002224e-05  7.0470708e-01  1.2413747e+00 -6.1097163e-01  2.3521403e+01  3.8120243e+01  1.9408429e+01 
148916  1.0002224e-05 -3.0908449e-01  3.8449652e-01  5.9585446e-01 -1.9658893e+01 -2.3726658e+01  2.3068842e+01 
148917  1.0002224e-05 -5.3424217e-01 -5.4338200e-01 -1.2795858e+00  4.7247648e+01 -3.0971852e+01 -4.2922556e+00 
148918  1.0002224e-05 -4.5852092e-01  5.9136068e-01 -3.9689558e-01  2.8304388e+01 -3.7866295e+01 -2.5422709e+01 
148919  1.0002224e-05  1.1827867e+00 -1.2066685e+00  2.3855358e+00 -1.3567670e+01 -6.5279000e+00  4.6150120e+01 
148920  1.0002224e-05 -8.1018563e-01 -4.1754998e-01 -8.8023511e-01  2.3809521e+01  9.0475959e+00 -3.5984808e+01 
148921  1.0002224e-05  6.0365555e-01 -1.2719880e+00  4.4885207e+00 -2.0341195e+01  1.1322374e+01 -3.6697045e+00 
148922  1.0002224e-05  1.5481372e-01 -4.3773065e-01  7.6272077e-01  8.3616689e+00  5.6249138e+00  1.9862278e+01 
148923  1.0002224e-05  1.4902493e-01  8.9611217e-01 -2.9379454e-01  3.0553495e+01 -2.4156697e+01 -1.3236795e+01 
148924  1.0002224e-05 -4.2383089e-01 -2.1132456e-01 -8.9162902e-02 -2.8441118e+01  2.7236743e+01 -1.2532908e+01 
148925  1.0002224e-05  9.8184723e-01 -9.5903415e-01 -1.7106588e+00 -3.5302103e+01 -3.5890042e+00  1.2230150e+01 
148926  1.0002224e-05  1.3263299e+00 -1.7553853e+01 -1.9150870e+00 -2.5794344e+00 -6.0922450e+01 -2.8443634e+01 
148927  1.0002224e-05  2.6663324e-01 -4.6807306e-01 -5.9391318e-01 -2.2062542e+01  4.6319109e+01  5.8663267e+01 
148928  1.0002224e-05  5.7603639e+00  4.0823835e+00  1.9669500e-01 -5.4783968e+01 -1.0069985e+01 -4.0645040e+01 
148929  1.0002224e-05  7.6101234e-01  2.9391244e-02 -1.3724621e-01  9.5803026e+00 -4.6305289e+00  2.2483544e+01 
148930  1.0002224e-05  8.0207230e-02  1.2431072e-01 -5.7174707e-01  3.1789959e+00 -7.5164564e+00 -2.1931335e+01 
148931  1.0002224e-05  3.9891826e-01  4.5757610e-01  1.8137958e+00 -4.5252220e+01  4.9230882e+01 -4.9657886e+00 
148932  1.0002224e-05  1.1416812e+00  4.7688131e-01 -2.8614873e-01  1.0196180e+01 -1.9569918e+00  1.5227411e+01 
148933  1.0002224e-05 -5.5071118e-01  3.5381172e-01  5.9944496e-01 -5.0372086e-01  7.7989092e+00 -2.6637835e+00 
148934  1.0002224e-05  1.6996194e-01 -3.8214594e-01  1.2747585e+00  1.8797790e+01  4.7497211e+01 -3.6337076e+01 
148935  1.0002224e-05  4.1736231e-01 -2.0735804e-01  3.5741091e-01 -3.2043888e+01 -3.6073775e+01 -1.3152544e+01 
148936  1.0002224e-05 -2.1662741e-01  2.2343672e-01  2.3499266e-01  2.7636183e+01 -6.1876574e+01  2.7439061e+01 
148937  1.0002224e-05 -1.6911807e+00 -2.3222080e-02 -1.6027155e+00 -9.8269583e+00 -1.3236734e+00  1.9877041e+01 
148938  1.0002224e-05  1.0082400e+00  1.0240321e-01 -1.0685262e+00  5.0919269e+01 -3.2559308e+01  1.7366195e+01 
148939  1.0002224e-05 -1.6740230e+00  8.2098590e-01 -9.9634700e-02 -1.0599808e+01  3.6414163e+00 -2.3793458e+00 
148940  1.0002224e-05 -1.6572401e+00  6.1584448e-01  6.9457982e-01  4.1755648e+00  7.8222124e+00  4.0136439e+01 
148941  1.0002224e-05 -3.4263825e+00  1.9537307e+00 -2.5231418e-01 -1.5359999e+01  1.9442113e+01  3.4958510e+01 
148942  1.0002224e-05  6.6643647e-02 -1.8562298e-01 -3.2136661e-01  3.7608065e+01 -2.7500589e+01  9.8114101e-01 
148943  1.0002224e-05 -3.0409886e-01 -3.7979470e-01 -1.5843917e-02 -4.8583573e+01 -3.8907084e+01 -3.1321201e+01 
148944  1.0002224e-05 -5.4346898e-01 -4.9531753e-01 -8.7413540e-01 -4.0895329e+01  1.2378623e+01 -2.3522918e+01 
148945  1.0002224e-05 -6.7660208e-01  3.6147872e-01 -2.8729856e-01  4.0131889e+00  6.0531621e+01  1.5794759e+01 
148946  1.0002224e-05  1.1704365e-01  6.8865310e-01 -1.2963396e-01  1.0324504e+01 -2.9656481e+01  1.2194778e+01 
148947  1.0002224e-05 -9.0593109e-01  8.5837163e-01 -7.0188036e-01  1.7301631e+01 -1.6318158e+01 -4.1710536e+01 
148948  1.0002224e-05 -2.6207070e-01 -2.7277322e-02  4.5820778e-01  2.5157085e+01  7.9810447e+00  2.6396676e+00 
148949  1.0002224e-05  5.0046698e-01 -3.2038428e-02  2.3224552e-01  8.4745185e+00  6.4852866e+00 -3.2618912e+01 
148950  1.0002224e-05 -5.9920929e-01 -1.1344013e+00 -1.8140781e-02  3.0622018e+01  1.3525027e+00  4.5313701e+01 
148951  1.0002224e-05  2.0588564e-01  2.5123107e-01 -4.2888716e-02 -1.2384743e+01  1.6936006e+01  3.2872582e+00 
148952  1.0002224e-05  2.1894629e-01  9.6773340e-01  2.3916189e-02 -7.2948179e+00 -1.4549666e+01 -3.6878687e+01 
148953  1.0002224e-05 -2.0887818e-01 -6.2042339e-01  2.0968902e-01 -5.2537971e+01  9.3171073e+00  2.8619836e+01 
148954  1.0002224e-05  1.0729239e+00 -2.4502713e+00 -1.9842536e+00 -1.9473774e+01 -5.3662824e+01  4.5952919e+01 
148955  1.0002224e-05  7.0308073e-01  8.5339751e-01  1.5246985e-01 -2.7576693e+01 -5.1584331e+01 -4.0097756e+01 
148956  1.0002224e-05 -3.1272343e+00 -9.9636577e-01  3.4269838e+00  2.4726242e+01  2.3697712e+01  2.8730331e+01 
148957  1.0002224e-05  1.8289813e-01 -5.1830013e-01  2.9108815e-02 -1.0981859e+01 -9.4516945e+00  2.3405010e+01 
148958  1.0002224e-05 -8.4848473e-02 -1.0727386e+00  4.5292783e-01  2.5313665e+01  1.5274730e+01 -1.3021413e+01 
148959  1.0002224e-05 -2.3435243e-01  8.0147374e-02  2.8536091e-01 -1.1629211e+01 -6.0295868e+00 -2.8525194e+00 
148960  1.0002224e-05  3.3233830e-01 -1.3041190e-01 -8.0904492e-03  1.9902273e+01 -3.2825448e+01  1.0817083e+01 
148961  1.0002224e-05 -1.1965504e+00  1.1960505e+00  1.4642407e-01  4.0092331e+01  2.7276025e+00 -2.6975842e+01 
148962  1.0002224e-05  4.9840069e-01 -4.2794360e-01 -2.6141856e+00 -3.6512319e+01 -3.2263147e+01  4.3557858e+01 
148963  1.0002224e-05 -3.6264242e-01 -9.2150224e-02 -1.7126770e-01  5.3861150e+01  4.0549251e+01 -3.5745466e+01 
148964  1.0002224e-05 -8.3360051e-02 -1.5995891e+00 -1.1329570e+00  1.0721721e+00 -1.5972545e+01 -1.4210777e+01 
148965  1.0002224e-05 -4.0899677e-01  1.0327565e+00  6.3539399e-01 -3.7387764e+01  9.5088013e+00  2.5429430e+01 
148966  1.0002224e-05  7.5307833e-01  1.3928965e+00  7.2084921e-01  2.8351438e+01  2.9604968e+01  4.0538743e+01 
148967  1.0002224e-05 -1.4612762e-01 -4.2732797e-01  5.6025107e-01  5.8562943e+01  1.3734211e+01  8.3289572e+00 
148968  1.0002224e-05 -3.2823366e-01  2.6626775e-01 -4.1903951e-02  1.1620828e+01  3.5217000e+00 -6.9930301e+00 
148969  1.0002224e-05 -2.7333032e-01  2.2625490e+00  1.3044715e-01  2.7631115e+00 -3.7488070e+01 -3.6176866e+01 
148970  1.0002224e-05  3.3853982e-02 -6.8966486e-01  1.3552846e-01  1.7040442e+01 -7.3645353e+00 -2.4776375e+01 
148971  1.0002224e-05 -1.8374751e-01  5.5459827e-01 -2.0190484e-01  2.6536271e+01  4.9573216e+01 -3.9667943e+01 
